"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
"/Game/Environment/M_BasicBox.M_BasicBox","0","0","23","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Tracer_A.M_Tracer_A","0","0","10","1","0.000000","0","0"
"/Game/Assets/sA_PickupSet_1/Materials/M_Master_Fresnel.M_Master_Fresnel","0","0","26","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","9","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","4","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","87","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","127","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","50","2","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","58","6","0.000000","0","3"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","677","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial_Low.WorldGridMaterial_Low","0","0","28","1","0.000000","0","0"
"/Game/Environment/M_BlockoutSimple.M_BlockoutSimple","0","0","23","1","0.000000","0","23"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_SparksImpact_2x2_01.M_SparksImpact_2x2_01","0","0","9","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/Weapons/Materials/M_WeaponMaster_01.M_WeaponMaster_01","0","0","35","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Smoke_8x8_B_01.M_Smoke_8x8_B_01","0","0","54","1","0.000000","0","0"
"/Game/Assets/FX/SmokeBeam/M_Beam.M_Beam","0","0","36","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_GlowSphere_01.M_GlowSphere_01","0","0","12","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Shockwave_Refraction_01.M_Shockwave_Refraction_01","0","0","15","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_LightRay_01.M_LightRay_01","0","0","9","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_RockSmall_01.M_RockSmall_01","0","0","9","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Pistol_MuzzleFlash_4x1_A.M_Pistol_MuzzleFlash_4x1_A","0","0","9","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Ember_Speed_01.M_Ember_Speed_01","0","0","9","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Pistol_Streaks_01.M_Pistol_Streaks_01","0","0","9","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Pistol_Smoke_2x2_A.M_Pistol_Smoke_2x2_A","0","0","54","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_SmokeRibbon_01.M_SmokeRibbon_01","0","0","36","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Debris_Tileable_01.M_Debris_Tileable_01","0","0","54","1","0.000000","0","0"
"/Game/Blueprints/AI/TrackerBot/Meshes/M_TrackerBot.M_TrackerBot","0","0","14","1","0.000000","0","0"
"/Game/Assets/FPS_Weapon_Bundle/Weapons/Materials/Master_Material/M_Weapon_Master_USE.M_Weapon_Master_USE","0","0","59","1","0.000000","0","118"
"/Game/Assets/ParagonDekker/FX/Materials/Tech/M_Spline_Light_Scanner.M_Spline_Light_Scanner","0","0","10","1","0.000000","0","0"
"/Game/Assets/ParagonDekker/FX/Materials/Flares/M_Lensflare_TB_SoftGlow.M_Lensflare_TB_SoftGlow","0","0","9","1","0.000000","0","0"
"/Game/Assets/ParagonDekker/FX/Materials/Trails/M_Bullet_Trail.M_Bullet_Trail","0","0","10","1","0.000000","0","0"
"/Game/Assets/ParagonDekker/FX/Materials/Flares/M_Lensflare_TB_Soft.M_Lensflare_TB_Soft","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultParticle.DefaultParticle","0","0","104","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_AssaultRifle_MuzzleFlash_4x1.M_AssaultRifle_MuzzleFlash_4x1","0","0","9","1","0.000000","0","0"
"/Game/Assets/Effects/RocketTrail/M_TrailSmoke.M_TrailSmoke","0","0","36","1","0.000000","0","0"
"/Game/Assets/FX/RocketTrail/M_TrailSmoke.M_TrailSmoke","0","0","36","1","0.000000","0","0"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Explosion_8x8_A_01.M_Explosion_8x8_A_01","0","0","54","1","0.000000","0","0"
"/Game/Assets/sA_PickupSet_1/Materials/M_AdditiveScrollNiagara.M_AdditiveScrollNiagara","0","0","20","1","0.000000","0","0"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","0","10","1","0.000000","0","0"
